Channel;OrderDate;Month-Year;OrderQuantity;UnitPrice;UnitCost
In-Store;25/11/2018;2018-11;7;3946;1579
Distributor;25/11/2018;2018-11;7;3062;2051
Online;25/11/2018;2018-11;3;3940;2088
In-Store;25/11/2018;2018-11;2;168;74
Distributor;25/11/2018;2018-11;6;978;538
In-Store;26/11/2018;2018-11;6;255;127
In-Store;26/11/2018;2018-11;5;3611;2672
In-Store;26/11/2018;2018-11;8;261;209
In-Store;26/11/2018;2018-11;1;1065;863
Distributor;26/11/2018;2018-11;3;5481;2576
Online;26/11/2018;2018-11;7;3987;2033
In-Store;26/11/2018;2018-11;7;6157;4249
In-Store;26/11/2018;2018-11;3;3457;2869
In-Store;26/11/2018;2018-11;2;5816;3082
Online;26/11/2018;2018-11;8;2245;1347
In-Store;26/11/2018;2018-11;6;1092;721
Online;27/11/2018;2018-11;8;2667;2000
In-Store;27/11/2018;2018-11;1;3987;1874
Online;27/11/2018;2018-11;1;1843;1529
Online;27/11/2018;2018-11;5;5085;4272
Distributor;27/11/2018;2018-11;2;2258;1264
Wholesale;27/11/2018;2018-11;5;3953;2490
In-Store;27/11/2018;2018-11;7;918;743
In-Store;28/11/2018;2018-11;4;724;376
Online;28/11/2018;2018-11;3;3578;1431
Online;28/11/2018;2018-11;8;1742;1394
Online;28/11/2018;2018-11;5;248;99
In-Store;28/11/2018;2018-11;1;1762;1163
Wholesale;28/11/2018;2018-11;8;992;625
Distributor;28/11/2018;2018-11;5;1065;714
Distributor;28/11/2018;2018-11;6;1152;772
Online;28/11/2018;2018-11;8;2915;2448
In-Store;28/11/2018;2018-11;1;5239;2620
In-Store;29/11/2018;2018-11;2;1139;968
In-Store;29/11/2018;2018-11;4;2010;1688
Distributor;29/11/2018;2018-11;3;1166;734
In-Store;29/11/2018;2018-11;7;3960;3009
In-Store;29/11/2018;2018-11;6;2600;2002
In-Store;29/11/2018;2018-11;7;2787;1254
In-Store;29/11/2018;2018-11;1;1025;564
Online;29/11/2018;2018-11;3;3920;2900
Online;29/11/2018;2018-11;5;3993;1597
Online;30/11/2018;2018-11;5;6345;4251
Online;30/11/2018;2018-11;1;1152;899
In-Store;30/11/2018;2018-11;8;3993;2675
Distributor;30/11/2018;2018-11;2;268;182
Wholesale;30/11/2018;2018-11;4;5233;3611
Online;30/11/2018;2018-11;2;2466;1430
Distributor;30/11/2018;2018-11;1;1018;438
Distributor;12/01/2018;2018-01;1;2613;2169
In-Store;12/01/2018;2018-01;5;1039;685
Online;12/01/2018;2018-01;6;2318;1043
Online;12/01/2018;2018-01;2;1219;866
In-Store;12/01/2018;2018-01;2;5306;2335
In-Store;12/02/2018;2018-02;6;2479;1463
Wholesale;12/02/2018;2018-02;8;228;187
Distributor;12/02/2018;2018-02;3;5930;3498
In-Store;12/02/2018;2018-02;6;1729;1175
Distributor;12/02/2018;2018-02;4;1045;826
In-Store;12/02/2018;2018-02;8;1722;1412
Distributor;12/03/2018;2018-03;8;3846;3000
Online;12/03/2018;2018-03;2;2707;1651
Online;12/03/2018;2018-03;5;2613;1359
Distributor;12/03/2018;2018-03;3;3631;2978
Online;12/03/2018;2018-03;3;1106;564
Online;12/03/2018;2018-03;1;1045;533
Wholesale;12/03/2018;2018-03;8;3042;1551
Distributor;12/03/2018;2018-03;5;1755;965
Distributor;12/03/2018;2018-03;1;2291;1192
Wholesale;12/03/2018;2018-03;6;1059;720
In-Store;12/03/2018;2018-03;8;1065;479
In-Store;12/03/2018;2018-03;5;241;116
In-Store;12/04/2018;2018-04;7;1132;781
Online;12/04/2018;2018-04;2;2224;1891
In-Store;12/04/2018;2018-04;4;824;659
In-Store;12/04/2018;2018-04;2;2352;1458
Online;12/04/2018;2018-04;1;6345;2919
Distributor;12/04/2018;2018-04;6;5621;3541
Distributor;12/04/2018;2018-04;6;1032;598
Online;12/04/2018;2018-04;4;2405;1828
Distributor;12/04/2018;2018-04;2;1106;907
In-Store;12/04/2018;2018-04;5;1776;959
Online;12/04/2018;2018-04;2;1092;786
Online;12/04/2018;2018-04;6;208;83
In-Store;12/04/2018;2018-04;4;1809;760
Online;12/05/2018;2018-05;8;1843;1437
In-Store;12/05/2018;2018-05;4;3839;2764
Online;12/05/2018;2018-05;7;268;172
In-Store;12/05/2018;2018-05;3;1829;860
Wholesale;12/05/2018;2018-05;1;1796;1257
Online;12/05/2018;2018-05;6;1119;459
Distributor;12/06/2018;2018-06;2;1119;716
In-Store;12/06/2018;2018-06;4;3926;2631
Wholesale;12/06/2018;2018-06;8;918;514
In-Store;12/06/2018;2018-06;6;208;100
In-Store;12/06/2018;2018-06;1;1977;1265
Wholesale;12/06/2018;2018-06;4;3960;2613
In-Store;12/06/2018;2018-06;2;1099;846
Online;12/06/2018;2018-06;2;878;728
In-Store;12/06/2018;2018-06;5;2553;1276
In-Store;12/06/2018;2018-06;8;1025;769
Distributor;12/06/2018;2018-06;7;1045;669
Wholesale;12/07/2018;2018-07;8;5983;2393
Distributor;12/07/2018;2018-07;6;1112;756
In-Store;12/07/2018;2018-07;6;1856;817
In-Store;12/07/2018;2018-07;6;3826;2295
Distributor;12/07/2018;2018-07;8;817;654
In-Store;12/07/2018;2018-07;8;737;376
In-Store;12/07/2018;2018-07;5;2466;1652
In-Store;12/07/2018;2018-07;6;858;686
Online;12/08/2018;2018-08;6;1079;431
In-Store;12/08/2018;2018-08;6;3390;2746
In-Store;12/08/2018;2018-08;3;5514;4356
Online;12/08/2018;2018-08;8;208;145
In-Store;12/08/2018;2018-08;2;2010;925
Online;12/08/2018;2018-08;5;1950;1053
Online;12/08/2018;2018-08;7;174;106
Online;12/08/2018;2018-08;7;1139;797
Wholesale;12/08/2018;2018-08;8;5320;2181
In-Store;12/09/2018;2018-09;4;3926;2081
Distributor;12/09/2018;2018-09;3;1039;768
In-Store;12/09/2018;2018-09;5;5038;2973
In-Store;12/09/2018;2018-09;5;1059;561
In-Store;12/09/2018;2018-09;5;221;97
In-Store;12/09/2018;2018-09;1;3296;2505
In-Store;12/09/2018;2018-09;6;5648;2711
Wholesale;12/09/2018;2018-09;1;1119;727
In-Store;12/09/2018;2018-09;4;2680;2224
In-Store;12/10/2018;2018-10;8;3866;2861
In-Store;12/10/2018;2018-10;1;951;400
Online;12/11/2018;2018-11;6;5621;4272
In-Store;12/11/2018;2018-11;3;4000;3120
Online;12/11/2018;2018-11;2;6399;3647
Distributor;12/11/2018;2018-11;2;1039;633
Distributor;12/11/2018;2018-11;7;6526;2806
In-Store;12/11/2018;2018-11;5;1092;808
Wholesale;12/11/2018;2018-11;3;3879;2716
In-Store;12/11/2018;2018-11;6;2600;2028
In-Store;12/11/2018;2018-11;2;851;485
Wholesale;12/12/2018;2018-12;2;1032;774
Wholesale;12/12/2018;2018-12;8;194;80
In-Store;12/12/2018;2018-12;2;2332;1585
Distributor;12/12/2018;2018-12;3;3002;2191
In-Store;12/12/2018;2018-12;3;208;168
In-Store;12/12/2018;2018-12;6;744;439
In-Store;12/12/2018;2018-12;7;208;120
Distributor;12/12/2018;2018-12;3;5769;3923
In-Store;12/12/2018;2018-12;7;1916;1341
In-Store;12/12/2018;2018-12;8;2633;2238
In-Store;12/12/2018;2018-12;7;1065;639
In-Store;12/12/2018;2018-12;3;2258;1603
Online;12/12/2018;2018-12;1;992;545
Wholesale;12/12/2018;2018-12;4;2338;1660
In-Store;13/12/2018;2018-12;7;2988;1584
In-Store;13/12/2018;2018-12;6;1119;683
Online;13/12/2018;2018-12;6;2486;1268
In-Store;13/12/2018;2018-12;4;2848;1709
In-Store;13/12/2018;2018-12;4;3296;2571
Online;13/12/2018;2018-12;4;972;690
Distributor;13/12/2018;2018-12;7;194;103
Online;13/12/2018;2018-12;6;5970;3224
Online;14/12/2018;2018-12;1;1079;626
In-Store;14/12/2018;2018-12;7;2412;1640
In-Store;14/12/2018;2018-12;4;1159;904
In-Store;14/12/2018;2018-12;4;1883;810
In-Store;14/12/2018;2018-12;6;1950;1072
Distributor;14/12/2018;2018-12;3;1099;747
In-Store;14/12/2018;2018-12;7;3156;2335
Distributor;14/12/2018;2018-12;5;2680;2144
Wholesale;14/12/2018;2018-12;5;5956;3872
In-Store;15/12/2018;2018-12;8;2010;925
Online;15/12/2018;2018-12;6;1320;964
In-Store;15/12/2018;2018-12;8;1776;1065
In-Store;15/12/2018;2018-12;2;188;129
In-Store;15/12/2018;2018-12;5;1139;900
In-Store;15/12/2018;2018-12;5;1005;824
Distributor;15/12/2018;2018-12;5;2385;1097
Online;15/12/2018;2018-12;6;1085;912
Online;15/12/2018;2018-12;5;1809;1520
Wholesale;15/12/2018;2018-12;4;898;646
In-Store;15/12/2018;2018-12;3;1246;847
In-Store;15/12/2018;2018-12;1;1119;504
Online;15/12/2018;2018-12;3;1018;835
Distributor;15/12/2018;2018-12;1;5105;3982
In-Store;16/12/2018;2018-12;8;1159;753
In-Store;16/12/2018;2018-12;3;1916;1380
In-Store;16/12/2018;2018-12;3;248;131
Wholesale;16/12/2018;2018-12;4;884;610
Distributor;17/12/2018;2018-12;1;1139;775
Wholesale;17/12/2018;2018-12;3;174;85
Online;17/12/2018;2018-12;8;951;761
Online;17/12/2018;2018-12;4;168;126
Wholesale;17/12/2018;2018-12;8;5139;3957
Online;17/12/2018;2018-12;7;214;109
Distributor;18/12/2018;2018-12;8;1012;475
Distributor;18/12/2018;2018-12;6;1159;916
Distributor;18/12/2018;2018-12;3;1059;857
Wholesale;18/12/2018;2018-12;4;1869;766
Online;18/12/2018;2018-12;5;1762;1410
Online;18/12/2018;2018-12;3;2492;1869
Distributor;18/12/2018;2018-12;7;3920;2038
Distributor;18/12/2018;2018-12;1;2519;1008
Wholesale;18/12/2018;2018-12;3;3873;3253
In-Store;19/12/2018;2018-12;2;1856;1355
In-Store;19/12/2018;2018-12;1;4007;3205
Online;19/12/2018;2018-12;7;1722;1360
In-Store;19/12/2018;2018-12;2;1039;727
Wholesale;19/12/2018;2018-12;6;241;109
Online;19/12/2018;2018-12;1;1052;673
Distributor;19/12/2018;2018-12;8;181;130
Online;20/12/2018;2018-12;6;268;220
In-Store;20/12/2018;2018-12;1;1159;533
In-Store;20/12/2018;2018-12;6;951;552
Online;20/12/2018;2018-12;5;4007;2644
Online;20/12/2018;2018-12;7;5648;2372
Online;20/12/2018;2018-12;5;3926;3219
Online;20/12/2018;2018-12;8;5327;4208
Distributor;20/12/2018;2018-12;5;5467;2242
In-Store;20/12/2018;2018-12;8;2546;1655
In-Store;20/12/2018;2018-12;5;1072;890
Online;20/12/2018;2018-12;7;1112;612
In-Store;20/12/2018;2018-12;3;2781;1390
Online;20/12/2018;2018-12;3;2647;1535
In-Store;21/12/2018;2018-12;5;214;135
Distributor;21/12/2018;2018-12;7;1126;822
In-Store;21/12/2018;2018-12;7;1843;737
Wholesale;21/12/2018;2018-12;5;1126;563
In-Store;21/12/2018;2018-12;8;6224;4170
In-Store;21/12/2018;2018-12;6;2224;1802
In-Store;21/12/2018;2018-12;4;1193;739
Wholesale;21/12/2018;2018-12;2;6097;2927
In-Store;21/12/2018;2018-12;6;1032;867
Online;21/12/2018;2018-12;1;2425;1358
In-Store;21/12/2018;2018-12;4;1032;691
Online;21/12/2018;2018-12;8;898;619
Online;22/12/2018;2018-12;5;2459;1525
In-Store;22/12/2018;2018-12;1;2358;1321
In-Store;22/12/2018;2018-12;2;1789;841
In-Store;22/12/2018;2018-12;2;3913;2348
In-Store;22/12/2018;2018-12;8;6144;4362
Wholesale;22/12/2018;2018-12;2;2827;1272
Online;22/12/2018;2018-12;3;1059;455
Distributor;22/12/2018;2018-12;7;1065;565
In-Store;23/12/2018;2018-12;6;1112;734
Online;23/12/2018;2018-12;7;3832;2184
Distributor;23/12/2018;2018-12;3;858;626
Distributor;23/12/2018;2018-12;7;5461;3003
In-Store;23/12/2018;2018-12;8;2566;1950
Online;23/12/2018;2018-12;5;2653;1194
Online;23/12/2018;2018-12;2;884;637
Wholesale;23/12/2018;2018-12;7;3806;1598
Distributor;23/12/2018;2018-12;8;1152;887
In-Store;23/12/2018;2018-12;3;3832;2568
In-Store;23/12/2018;2018-12;4;871;662
Online;23/12/2018;2018-12;4;1809;1140
In-Store;23/12/2018;2018-12;5;1970;1379
Online;23/12/2018;2018-12;5;1039;717
Wholesale;23/12/2018;2018-12;6;3652;1607
Distributor;23/12/2018;2018-12;8;1950;1306
Wholesale;23/12/2018;2018-12;8;992;694
Online;24/12/2018;2018-12;8;2740;1206
Online;24/12/2018;2018-12;6;1903;1256
In-Store;24/12/2018;2018-12;2;2365;1774
Online;24/12/2018;2018-12;8;1052;663
Distributor;24/12/2018;2018-12;5;2861;2031
Online;24/12/2018;2018-12;5;5836;4202
In-Store;24/12/2018;2018-12;1;1152;945
Online;25/12/2018;2018-12;3;898;619
Distributor;25/12/2018;2018-12;5;1112;912
In-Store;25/12/2018;2018-12;1;3826;2334
Wholesale;25/12/2018;2018-12;4;1963;1217
In-Store;25/12/2018;2018-12;6;2365;1750
Online;25/12/2018;2018-12;3;958;584
In-Store;25/12/2018;2018-12;3;1856;1132
In-Store;25/12/2018;2018-12;5;1709;1350
In-Store;25/12/2018;2018-12;7;2586;1862
Wholesale;25/12/2018;2018-12;2;2566;1694
Distributor;25/12/2018;2018-12;3;3203;1986
Online;26/12/2018;2018-12;2;6546;2749
In-Store;26/12/2018;2018-12;4;5226;3397
Distributor;26/12/2018;2018-12;8;905;733
Distributor;26/12/2018;2018-12;5;2238;1029
Online;26/12/2018;2018-12;5;1072;708
In-Store;26/12/2018;2018-12;3;1092;885
Distributor;26/12/2018;2018-12;2;3826;2334
In-Store;26/12/2018;2018-12;6;214;165
Distributor;26/12/2018;2018-12;3;6566;4202
In-Store;26/12/2018;2018-12;6;1836;1083
In-Store;26/12/2018;2018-12;2;2432;1021
Online;27/12/2018;2018-12;8;1876;1520
Online;27/12/2018;2018-12;5;1012;425
Online;27/12/2018;2018-12;4;1039;768
In-Store;27/12/2018;2018-12;7;958;613
Distributor;27/12/2018;2018-12;2;2446;1223
Online;27/12/2018;2018-12;5;3899;3275
Online;27/12/2018;2018-12;5;1005;653
Online;27/12/2018;2018-12;5;1776;1349
Online;27/12/2018;2018-12;6;1126;855
Online;28/12/2018;2018-12;2;1099;747
Wholesale;28/12/2018;2018-12;5;1936;1491
Distributor;28/12/2018;2018-12;3;3926;2670
In-Store;28/12/2018;2018-12;7;3156;2241
Wholesale;28/12/2018;2018-12;8;4000;1680
Online;28/12/2018;2018-12;2;1092;666
Online;29/12/2018;2018-12;4;1005;442
In-Store;29/12/2018;2018-12;3;255;135
In-Store;29/12/2018;2018-12;2;898;521
In-Store;29/12/2018;2018-12;4;1749;822
In-Store;29/12/2018;2018-12;4;1106;442
Distributor;29/12/2018;2018-12;6;5842;4323
Online;29/12/2018;2018-12;7;1179;755
Online;29/12/2018;2018-12;4;2580;1496
Online;29/12/2018;2018-12;3;925;656
Distributor;29/12/2018;2018-12;3;3980;2905
In-Store;29/12/2018;2018-12;4;2626;2101
Wholesale;29/12/2018;2018-12;3;1293;1022
Distributor;29/12/2018;2018-12;8;1132;962
Distributor;29/12/2018;2018-12;2;670;322
In-Store;30/12/2018;2018-12;7;6539;4708
In-Store;30/12/2018;2018-12;1;3256;2638
Online;30/12/2018;2018-12;1;2580;1625
Online;30/12/2018;2018-12;8;3853;2966
Wholesale;30/12/2018;2018-12;8;925;527
Wholesale;30/12/2018;2018-12;3;3906;2422
Distributor;30/12/2018;2018-12;1;255;130
Wholesale;30/12/2018;2018-12;2;1072;590
In-Store;30/12/2018;2018-12;2;2653;1061
In-Store;30/12/2018;2018-12;6;3564;1818
In-Store;30/12/2018;2018-12;8;1079;518
Online;30/12/2018;2018-12;4;6224;3112
Wholesale;30/12/2018;2018-12;6;1327;822
Wholesale;30/12/2018;2018-12;8;221;159
Distributor;30/12/2018;2018-12;8;6345;3807
In-Store;31/12/2018;2018-12;2;1132;815
Online;31/12/2018;2018-12;4;757;447
In-Store;31/12/2018;2018-12;6;1039;883
Online;31/12/2018;2018-12;6;958;604
Wholesale;31/12/2018;2018-12;1;1856;1522
In-Store;31/12/2018;2018-12;2;2647;1879
In-Store;31/12/2018;2018-12;3;5454;3654
In-Store;31/12/2018;2018-12;4;1782;1301
In-Store;31/12/2018;2018-12;4;1052;631
In-Store;31/12/2018;2018-12;5;255;216
In-Store;31/12/2018;2018-12;2;2861;1745
In-Store;31/12/2018;2018-12;8;2888;1213
Distributor;31/12/2018;2018-12;8;1085;857
Online;01/01/2019;2019-01;7;1032;774
In-Store;01/01/2019;2019-01;8;1173;645
In-Store;01/01/2019;2019-01;4;2010;925
Online;01/01/2019;2019-01;8;5280;4118
Wholesale;01/01/2019;2019-01;7;1039;582
Online;01/01/2019;2019-01;2;2861;1488
In-Store;01/01/2019;2019-01;2;978;626
Wholesale;01/01/2019;2019-01;3;3719;1971
In-Store;01/01/2019;2019-01;2;5481;3014
In-Store;01/01/2019;2019-01;3;797;518
In-Store;01/01/2019;2019-01;2;248;124
Online;01/01/2019;2019-01;4;1166;898
In-Store;01/01/2019;2019-01;8;6425;3213
Online;01/01/2019;2019-01;7;1293;957
In-Store;01/01/2019;2019-01;1;6198;3595
In-Store;01/02/2019;2019-02;3;5869;3463
In-Store;01/02/2019;2019-02;8;1099;593
In-Store;01/02/2019;2019-02;2;1072;890
In-Store;01/02/2019;2019-02;1;6533;3985
Online;01/02/2019;2019-02;3;3946;2368
Online;01/02/2019;2019-02;8;1032;836
In-Store;01/02/2019;2019-02;4;5172;3259
In-Store;01/02/2019;2019-02;4;2513;1307
Online;01/02/2019;2019-02;7;2640;2033
Distributor;01/03/2019;2019-03;1;1052;663
In-Store;01/03/2019;2019-03;1;1052;757
Online;01/03/2019;2019-03;7;2003;1482
Online;01/03/2019;2019-03;4;838;503
In-Store;01/03/2019;2019-03;5;5816;4304
In-Store;01/03/2019;2019-03;7;1173;973
Distributor;01/03/2019;2019-03;6;1119;716
Online;01/03/2019;2019-03;8;3846;3230
In-Store;01/03/2019;2019-03;3;2586;1034
Online;01/03/2019;2019-03;7;5166;2066
Online;01/03/2019;2019-03;3;3156;1262
Online;01/04/2019;2019-04;8;2305;1613
In-Store;01/04/2019;2019-04;3;3839;2803
Online;01/04/2019;2019-04;2;1005;724
Distributor;01/04/2019;2019-04;6;2526;1768
Wholesale;01/04/2019;2019-04;6;1923;1365
In-Store;01/04/2019;2019-04;1;6372;4588
Distributor;01/04/2019;2019-04;2;3987;2671
In-Store;01/04/2019;2019-04;8;1836;1193
In-Store;01/04/2019;2019-04;1;871;575
In-Store;01/04/2019;2019-04;6;3732;2911
Wholesale;01/04/2019;2019-04;8;1977;968
Online;01/04/2019;2019-04;1;3538;3007
Online;01/04/2019;2019-04;8;2405;1804
Online;01/04/2019;2019-04;4;3075;2491
Distributor;01/04/2019;2019-04;2;221;108
Online;01/04/2019;2019-04;3;891;633
Distributor;01/04/2019;2019-04;2;1226;944
In-Store;01/05/2019;2019-05;4;5722;4177
In-Store;01/05/2019;2019-05;7;3203;1473
Online;01/05/2019;2019-05;5;1722;1395
Online;01/05/2019;2019-05;4;898;494
Online;01/05/2019;2019-05;8;1052;736
Online;01/05/2019;2019-05;6;905;398
Wholesale;01/05/2019;2019-05;8;2673;1203
Online;01/05/2019;2019-05;8;1065;746
In-Store;01/05/2019;2019-05;4;2010;864
In-Store;01/05/2019;2019-05;7;851;706
In-Store;01/06/2019;2019-06;8;2466;1677
Online;01/06/2019;2019-06;1;3873;2285
Online;01/06/2019;2019-06;1;255;145
Online;01/06/2019;2019-06;7;3183;2005
Distributor;01/06/2019;2019-06;1;1112;745
In-Store;01/06/2019;2019-06;3;918;597
In-Store;01/06/2019;2019-06;1;1923;846
Distributor;01/07/2019;2019-07;5;1997;1078
Online;01/07/2019;2019-07;7;3966;2380
Online;01/07/2019;2019-07;5;784;470
Online;01/07/2019;2019-07;6;831;440
In-Store;01/07/2019;2019-07;6;1045;544
Online;01/07/2019;2019-07;1;1025;513
Distributor;01/07/2019;2019-07;2;5320;3298
Wholesale;01/07/2019;2019-07;4;898;431
In-Store;01/07/2019;2019-07;5;1970;1477
Online;01/07/2019;2019-07;1;1112;678
Distributor;01/07/2019;2019-07;6;1045;753
In-Store;01/08/2019;2019-08;4;1032;413
In-Store;01/08/2019;2019-08;5;2365;1088
In-Store;01/08/2019;2019-08;3;235;106
Wholesale;01/08/2019;2019-08;8;2573;1852
In-Store;01/08/2019;2019-08;5;174;87
In-Store;01/08/2019;2019-08;1;1106;464
In-Store;01/08/2019;2019-08;4;3832;3181
In-Store;01/08/2019;2019-08;2;3940;3230
Wholesale;01/08/2019;2019-08;4;1085;868
Wholesale;01/08/2019;2019-08;7;2620;1572
Online;01/08/2019;2019-08;7;3384;2673
In-Store;01/08/2019;2019-08;8;817;335
In-Store;01/08/2019;2019-08;2;1079;550
Online;01/09/2019;2019-09;3;6204;4281
Online;01/09/2019;2019-09;6;5300;4187
Distributor;01/09/2019;2019-09;5;201;143
In-Store;01/09/2019;2019-09;6;3397;2378
In-Store;01/09/2019;2019-09;6;1065;682
Distributor;01/09/2019;2019-09;5;3973;3258
In-Store;01/09/2019;2019-09;8;1983;1170
Wholesale;01/09/2019;2019-09;2;1930;1466
Online;01/09/2019;2019-09;3;891;481
Distributor;01/10/2019;2019-10;7;4000;2240
In-Store;01/10/2019;2019-10;4;1809;1520
Online;01/10/2019;2019-10;5;3430;2744
Wholesale;01/10/2019;2019-10;5;2519;1260
Distributor;01/10/2019;2019-10;1;1012;536
In-Store;01/10/2019;2019-10;7;214;135
Online;01/10/2019;2019-10;1;2325;1465
In-Store;01/10/2019;2019-10;7;2553;1761
In-Store;01/10/2019;2019-10;3;1776;994
In-Store;01/10/2019;2019-10;3;3906;2695
Online;01/10/2019;2019-10;4;2861;1688
In-Store;01/10/2019;2019-10;3;931;540
Online;01/10/2019;2019-10;7;1072;847
In-Store;01/10/2019;2019-10;4;241;101
Wholesale;01/11/2019;2019-11;4;3692;2584
In-Store;01/11/2019;2019-11;3;858;497
Online;01/11/2019;2019-11;2;1186;961
Online;01/11/2019;2019-11;6;5702;4789
Online;01/11/2019;2019-11;8;3920;1568
In-Store;01/11/2019;2019-11;2;1052;621
Online;01/11/2019;2019-11;8;1018;407
Distributor;01/11/2019;2019-11;4;1213;715
In-Store;01/11/2019;2019-11;7;3075;1999
Online;01/11/2019;2019-11;6;5588;2682
In-Store;01/11/2019;2019-11;3;1126;855
Distributor;01/12/2019;2019-12;1;6084;2738
Online;01/12/2019;2019-12;4;965;666
In-Store;01/12/2019;2019-12;2;188;133
Wholesale;01/12/2019;2019-12;3;704;295
Distributor;01/12/2019;2019-12;8;3832;1878
Distributor;01/12/2019;2019-12;4;5662;2321
In-Store;01/12/2019;2019-12;7;208;160
Distributor;01/12/2019;2019-12;5;3893;3309
In-Store;01/12/2019;2019-12;7;2519;1713
In-Store;01/12/2019;2019-12;2;2921;1461
In-Store;13/01/2019;2019-01;7;5595;2518
In-Store;13/01/2019;2019-01;6;992;744
In-Store;13/01/2019;2019-01;7;891;570
Wholesale;13/01/2019;2019-01;4;5427;2442
Online;13/01/2019;2019-01;1;4000;3280
In-Store;14/01/2019;2019-01;7;1065;522
In-Store;14/01/2019;2019-01;2;174;143
In-Store;14/01/2019;2019-01;8;3819;3132
Wholesale;14/01/2019;2019-01;1;1059;730
In-Store;14/01/2019;2019-01;4;3243;2594
Distributor;15/01/2019;2019-01;8;6445;4705
In-Store;15/01/2019;2019-01;1;1085;586
In-Store;15/01/2019;2019-01;2;3571;2000
In-Store;15/01/2019;2019-01;8;2399;1319
Online;15/01/2019;2019-01;5;1300;1027
Distributor;15/01/2019;2019-01;6;878;658
In-Store;15/01/2019;2019-01;7;1018;713
In-Store;15/01/2019;2019-01;7;3585;2366
In-Store;15/01/2019;2019-01;4;992;744
Online;15/01/2019;2019-01;1;6392;3324
Online;16/01/2019;2019-01;1;871;645
In-Store;16/01/2019;2019-01;7;1112;923
In-Store;16/01/2019;2019-01;1;1836;844
In-Store;16/01/2019;2019-01;8;201;90
In-Store;16/01/2019;2019-01;1;5038;3527
Online;17/01/2019;2019-01;8;1099;934
In-Store;17/01/2019;2019-01;3;2271;1703
In-Store;17/01/2019;2019-01;6;1313;617
In-Store;17/01/2019;2019-01;4;972;389
Distributor;17/01/2019;2019-01;4;1829;1445
In-Store;17/01/2019;2019-01;2;1735;1371
In-Store;17/01/2019;2019-01;8;3933;1770
Online;17/01/2019;2019-01;8;2653;1804
Wholesale;17/01/2019;2019-01;4;1883;1356
In-Store;17/01/2019;2019-01;4;3933;2360
In-Store;17/01/2019;2019-01;4;3913;2035
Distributor;18/01/2019;2019-01;5;978;743
Online;18/01/2019;2019-01;6;1843;1198
In-Store;18/01/2019;2019-01;7;255;104
Online;18/01/2019;2019-01;1;1065;575
Online;18/01/2019;2019-01;5;3511;2212
Distributor;18/01/2019;2019-01;7;5702;2908
Wholesale;18/01/2019;2019-01;3;3390;2373
In-Store;19/01/2019;2019-01;1;2298;1402
In-Store;19/01/2019;2019-01;6;3960;1663
Online;19/01/2019;2019-01;6;2318;1715
Distributor;19/01/2019;2019-01;2;201;82
Online;19/01/2019;2019-01;3;2827;2403
In-Store;19/01/2019;2019-01;2;884;690
In-Store;19/01/2019;2019-01;4;3966;2697
Distributor;20/01/2019;2019-01;8;3899;3314
Online;20/01/2019;2019-01;1;771;547
In-Store;20/01/2019;2019-01;8;1039;633
Online;20/01/2019;2019-01;3;838;662
Online;20/01/2019;2019-01;3;6546;3077
In-Store;20/01/2019;2019-01;3;255;199
Online;20/01/2019;2019-01;2;174;78
In-Store;20/01/2019;2019-01;3;1025;769
Wholesale;20/01/2019;2019-01;2;1776;728
Wholesale;20/01/2019;2019-01;8;3390;2000
Online;20/01/2019;2019-01;3;235;94
In-Store;20/01/2019;2019-01;5;2385;1455
Wholesale;20/01/2019;2019-01;2;1039;447
In-Store;20/01/2019;2019-01;1;2492;1396
In-Store;20/01/2019;2019-01;8;1045;596
Online;20/01/2019;2019-01;2;6177;2780
Online;20/01/2019;2019-01;6;2640;1214
Online;20/01/2019;2019-01;8;2533;1317
In-Store;20/01/2019;2019-01;5;1166;688
Online;21/01/2019;2019-01;3;3960;3207
In-Store;21/01/2019;2019-01;7;1126;619
Online;21/01/2019;2019-01;5;2332;1282
Wholesale;21/01/2019;2019-01;7;1896;1346
In-Store;21/01/2019;2019-01;6;3953;3321
Online;21/01/2019;2019-01;6;858;635
Wholesale;22/01/2019;2019-01;4;5641;3272
Online;22/01/2019;2019-01;1;2218;1552
In-Store;22/01/2019;2019-01;7;1856;1318
Distributor;22/01/2019;2019-01;2;1977;1581
Distributor;22/01/2019;2019-01;2;1065;629
Online;23/01/2019;2019-01;3;3873;2595
In-Store;23/01/2019;2019-01;2;3886;1826
Online;23/01/2019;2019-01;8;268;222
In-Store;23/01/2019;2019-01;4;214;92
Online;23/01/2019;2019-01;5;677;433
Online;23/01/2019;2019-01;1;1005;412
Online;23/01/2019;2019-01;1;1065;703
In-Store;23/01/2019;2019-01;2;168;114
In-Store;23/01/2019;2019-01;4;1179;837
Online;23/01/2019;2019-01;7;5809;3485
Distributor;24/01/2019;2019-01;4;3772;3093
In-Store;24/01/2019;2019-01;1;3484;1533
Online;24/01/2019;2019-01;8;1052;421
In-Store;24/01/2019;2019-01;1;208;116
Online;24/01/2019;2019-01;3;1709;1196
In-Store;25/01/2019;2019-01;2;1119;794
In-Store;25/01/2019;2019-01;4;1896;796
Distributor;25/01/2019;2019-01;4;2271;931
In-Store;25/01/2019;2019-01;4;5682;3750
Wholesale;25/01/2019;2019-01;1;1065;607
In-Store;25/01/2019;2019-01;4;2580;2141
Distributor;26/01/2019;2019-01;6;3879;2987
